Account,Date,Channel,Units,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00
0724288019,1/1/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/1/2014,O'Hare Airport Temp. Fahren,Fahren,10.400000,10.400000,10.400000,10.400000,12.200000,12.200000,14.000000,14.000000,14.000000,14.000000,15.800000,15.800000,17.600000,17.600000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000
0724288019,1/1/2014,O'Hare Airport Temp. RH,RH,78.230000,78.230000,78.230000,78.230000,78.400000,78.400000,78.570000,78.570000,78.570000,78.570000,78.740000,78.740000,78.900000,78.900000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,79.230000,73.210000,73.210000,73.210000,73.210000,73.210000,73.210000
0724288019,1/2/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/2/2014,O'Hare Airport Temp. Fahren,Fahren,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,17.600000,17.600000,17.600000,17.600000,17.600000,17.600000,17.600000,17.600000,15.800000,15.800000,17.600000,17.600000,17.600000,17.600000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,12.200000,12.200000,10.400000,10.400000,6.800000,6.800000,6.800000,6.800000,3.200000,3.200000,3.200000,3.200000,3.200000,3.200000,-0.400000,-0.400000
0724288019,1/2/2014,O'Hare Airport Temp. RH,RH,73.210000,73.210000,73.210000,73.210000,79.230000,79.230000,78.900000,78.900000,78.900000,78.900000,78.900000,78.900000,72.810000,72.810000,78.740000,78.740000,72.810000,72.810000,72.810000,72.810000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,66.900000,66.900000,56.680000,56.680000,61.070000,61.070000,60.790000,60.790000,65.680000,65.680000,60.250000,60.250000,65.180000,65.180000,59.690000,59.690000,59.690000,59.690000,59.120000,59.120000
0724288019,1/3/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/3/2014,O'Hare Airport Temp. Fahren,Fahren,-2.200000,-2.200000,-0.400000,-0.400000,-0.400000,-0.400000,-2.200000,-2.200000,-4.000000,-4.000000,-2.200000,-2.200000,-7.600000,-7.600000,-7.600000,-7.600000,-0.400000,-0.400000,6.800000,6.800000,10.400000,10.400000,10.400000,10.400000,12.200000,12.200000,14.000000,14.000000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,17.600000,17.600000,17.600000,17.600000,19.400000,19.400000,19.400000,19.400000,19.400000,19.400000
0724288019,1/3/2014,O'Hare Airport Temp. RH,RH,64.400000,64.400000,59.120000,59.120000,59.120000,59.120000,70.440000,70.440000,70.210000,70.210000,70.440000,70.440000,69.740000,69.740000,76.420000,76.420000,70.670000,70.670000,55.210000,55.210000,51.190000,51.190000,55.810000,55.810000,56.100000,56.100000,61.330000,61.330000,56.680000,56.680000,61.600000,61.600000,61.600000,61.600000,61.600000,61.600000,66.900000,66.900000,67.140000,67.140000,67.140000,67.140000,67.370000,67.370000,67.370000,67.370000,67.370000,67.370000
0724288019,1/4/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/4/2014,O'Hare Airport Temp. Fahren,Fahren,19.400000,19.400000,21.200000,21.200000,21.200000,21.200000,21.200000,21.200000,23.000000,23.000000,23.000000,23.000000,24.800000,24.800000,24.800000,24.800000,26.600000,26.600000,28.400000,28.400000,28.400000,28.400000,28.400000,28.400000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,30.200000,26.600000,26.600000
0724288019,1/4/2014,O'Hare Airport Temp. RH,RH,67.370000,67.370000,62.380000,62.380000,62.380000,62.380000,62.380000,62.380000,57.800000,57.800000,57.800000,57.800000,58.080000,58.080000,58.080000,58.080000,58.350000,58.350000,58.620000,58.620000,63.400000,63.400000,63.400000,63.400000,58.890000,58.890000,63.650000,63.650000,74.180000,74.180000,80.010000,80.010000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,86.240000,80.010000,80.010000,86.020000,86.020000
0724288019,1/5/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/5/2014,O'Hare Airport Temp. Fahren,Fahren,24.800000,24.800000,21.200000,21.200000,21.200000,21.200000,19.400000,19.400000,19.400000,19.400000,17.600000,17.600000,17.600000,17.600000,17.600000,17.600000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,15.800000,14.000000,14.000000,12.200000,12.200000,10.400000,10.400000,10.400000,10.400000,6.800000,6.800000,3.200000,3.200000,3.200000,3.200000,3.200000,3.200000,1.400000,1.400000,-0.400000,-0.400000,-2.200000,-2.200000
0724288019,1/5/2014,O'Hare Airport Temp. RH,RH,79.550000,79.550000,79.230000,79.230000,79.230000,79.230000,79.070000,79.070000,73.010000,73.010000,78.900000,78.900000,72.810000,72.810000,72.810000,72.810000,78.740000,78.740000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,72.610000,72.400000,72.400000,66.420000,66.420000,71.980000,71.980000,66.180000,66.180000,65.680000,65.680000,65.180000,65.180000,59.690000,59.690000,54.610000,54.610000,54.310000,54.310000,54.000000,54.000000,53.690000,53.690000
0724288019,1/6/2014,141501550 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/6/2014,141654340 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/6/2014,141654341 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/6/2014,145019813 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/6/2014,230079804 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0724288019,1/6/2014,230083235 1,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
